device,model,battery,charging,lat,lon,accuracy,source,place,place_type,locality,address,updated
Nat iPhone12mini,iPhone 12 mini,44,NotCharging,18.080372,99.879712,16,GPS,,,Long District,"Long District, Phrae 54150",2026-02-27 10:59:32
Nat iPhone12mini,iPhone 12 mini,44,NotCharging,18.080372,99.879712,16,GPS,,,Long District,"Long District, Phrae 54150",2026-02-27 10:59:32
Nat iPhone12mini,iPhone 12 mini,42,NotCharging,18.040347,99.916938,60,GPS,,,Long District,"Long District, Phrae 54150",2026-02-27 11:09:52
Nat iPhone12mini,iPhone 12 mini,41,NotCharging,18.032004,99.922519,36,GPS,,,Long District,"Long District, Phrae 54150",2026-02-27 11:11:34
Nat iPhone12mini,iPhone 12 mini,41,NotCharging,18.032004,99.922519,36,GPS,,,Long District,"Long District, Phrae 54150",2026-02-27 11:11:34
Nat iPhone12mini,iPhone 12 mini,39,NotCharging,18.032004,99.922519,36,GPS,,,Long District,"Long District, Phrae 54150",2026-02-27 11:11:34
Nat iPhone12mini,iPhone 12 mini,38,NotCharging,17.97274,100.052057,14,GPS,,,Den Chai District,"Den Chai District, Phrae 54110",2026-02-27 11:31:00
Nat iPhone12mini,iPhone 12 mini,36,NotCharging,17.92115,100.062211,10,GPS,,,Den Chai District,"Den Chai District, Phrae 54110",2026-02-27 11:36:34
Nat iPhone12mini,iPhone 12 mini,35,NotCharging,17.881632,100.040743,6,GPS,,,Den Chai District,"Den Chai District, Phrae 54110",2026-02-27 11:41:39
Nat iPhone12mini,iPhone 12 mini,34,NotCharging,17.839016,100.046134,14,GPS,,,Mueang Uttaradit District,"Mueang Uttaradit District, Uttaradit 53000",2026-02-27 11:47:01
Nat iPhone12mini,iPhone 12 mini,33,NotCharging,17.808954,100.066603,5,GPS,,,Mueang Uttaradit District,"Mueang Uttaradit District, Uttaradit 53000",2026-02-27 11:51:54
Nat iPhone12mini,iPhone 12 mini,32,NotCharging,17.77201,100.108,5,GPS,,,Mueang Uttaradit District,"169 Ro Pho Cho. Uttaradit 4013 Road, Ban Dan Na Kham, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 11:57:12
Nat iPhone12mini,iPhone 12 mini,31,NotCharging,17.723428,100.126752,14,GPS,,,Mueang Uttaradit District,"33–99 Thanon Phatthanakan Soi 13, Ban Dan Na Kham, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:02:22
Nat iPhone12mini,iPhone 12 mini,30,NotCharging,17.652857,100.122463,5,GPS,,,Mueang Uttaradit District,"Pracha Ruam Chai Road, Tha Sao, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:07:28
Nat iPhone12mini,iPhone 12 mini,29,NotCharging,17.639648,100.10107,8,Wifi,,,Mueang Uttaradit District,"Sila At, Tha It, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:12:16
Nat iPhone12mini,iPhone 12 mini,28,NotCharging,17.620929,100.097137,14,GPS,,,Mueang Uttaradit District,"1/47 Boromma At Road, Tha It, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:17:39
Nat iPhone12mini,iPhone 12 mini,27,NotCharging,17.599924,100.093404,530,unknown,,,Mueang Uttaradit District,"Ban Ko, Mueang Uttaradit District, Uttaradit",2026-02-27 12:23:03
Nat iPhone12mini,iPhone 12 mini,27,NotCharging,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"242 Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,27,NotCharging,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"242 Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,0,Unknown,17.594402,100.093817,6,GPS,,,Mueang Uttaradit District,"Ban Nong Khan Road, Ban Ko, Mueang Uttaradit District, Uttaradit 53000",2026-02-27 12:23:17
Nat iPhone12mini,iPhone 12 mini,1,Charging,16.817458,100.25806,60,GPS,,,Mueang Phitsanulok District,"Phibun Songkhram Rajabhat University, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 16:23:02
Nat iPhone12mini,iPhone 12 mini,1,Charging,16.816864,100.258006,10,GPS,,,Mueang Phitsanulok District,"Pibulsongkram Rajabhat University, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 16:28:33
Nat iPhone12mini,iPhone 12 mini,1,Charging,16.816866,100.258006,10,unknown,,,Mueang Phitsanulok District,"Pibulsongkram Rajabhat University, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 16:33:21
Nat iPhone12mini,iPhone 12 mini,1,Charging,16.816868,100.258007,10,unknown,,,Mueang Phitsanulok District,"Pibulsongkram Rajabhat University, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 16:38:31
Nat iPhone12mini,iPhone 12 mini,4,Charging,16.81687,100.258008,10,unknown,,,Mueang Phitsanulok District,"Pibulsongkram Rajabhat University, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 16:43:35
Nat iPhone12mini,iPhone 12 mini,11,Charging,16.816871,100.258008,10,unknown,,,Mueang Phitsanulok District,"Pibulsongkram Rajabhat University, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 16:49:04
Nat iPhone12mini,iPhone 12 mini,15,Charging,16.816907,100.258004,10,GPS,,,Mueang Phitsanulok District,"Pibulsongkram Rajabhat University, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 16:53:51
Nat iPhone12mini,iPhone 12 mini,20,Charging,16.816907,100.258004,10,unknown,,,Mueang Phitsanulok District,"Pibulsongkram Rajabhat University, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 16:59:11
Nat iPhone12mini,iPhone 12 mini,23,Charging,16.816919,100.258002,10,unknown,,,Mueang Phitsanulok District,"Pibulsongkram Rajabhat University, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 17:04:11
Nat iPhone12mini,iPhone 12 mini,27,Charging,16.816934,100.258003,10,unknown,,,Mueang Phitsanulok District,"Pibulsongkram Rajabhat University, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 17:09:59
Nat iPhone12mini,iPhone 12 mini,31,Charging,16.816936,100.258003,10,unknown,,,Mueang Phitsanulok District,"Pibulsongkram Rajabhat University, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 17:14:36
Nat iPhone12mini,iPhone 12 mini,34,Charging,16.816945,100.258003,10,unknown,,,Mueang Phitsanulok District,"Pibulsongkram Rajabhat University, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 17:20:21
Nat iPhone12mini,iPhone 12 mini,37,Charging,16.816947,100.258004,10,unknown,,,Mueang Phitsanulok District,"Pibulsongkram Rajabhat University, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 17:23:55
Nat iPhone12mini,iPhone 12 mini,40,Charging,16.816956,100.258004,10,unknown,,,Mueang Phitsanulok District,"Pibulsongkram Rajabhat University, 66 Wang Chan Road, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 17:30:17
Nat iPhone12mini,iPhone 12 mini,42,Charging,16.816946,100.258002,10,GPS,,,Mueang Phitsanulok District,"Pibulsongkram Rajabhat University, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 17:35:21
Nat iPhone12mini,iPhone 12 mini,43,Charging,16.816941,100.258003,10,GPS,,,Mueang Phitsanulok District,"Pibulsongkram Rajabhat University, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 17:40:31
Nat iPhone12mini,iPhone 12 mini,45,Charging,16.816943,100.258004,10,unknown,,,Mueang Phitsanulok District,"Pibulsongkram Rajabhat University, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 17:45:21
Nat iPhone12mini,iPhone 12 mini,45,NotCharging,16.81693,100.258031,15,GPS,,,Mueang Phitsanulok District,"Pibulsongkram Rajabhat University, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 17:50:55
Nat iPhone12mini,iPhone 12 mini,43,NotCharging,16.817666,100.258349,8,GPS,,,Mueang Phitsanulok District,"66 Wang Chan Road, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 17:55:38
Nat iPhone12mini,iPhone 12 mini,1,NotCharging,16.818115,100.258121,4,GPS,,,Mueang Phitsanulok District,"66 Wang Chan Road, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 18:07:27
Nat iPhone12mini,iPhone 12 mini,1,NotCharging,16.817932,100.259533,76,Wifi,,,Mueang Phitsanulok District,"Phuttha Bucha Road, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 18:12:54
Nat iPhone12mini,iPhone 12 mini,1,NotCharging,16.817928,100.25823,4,GPS,,,Mueang Phitsanulok District,"66 Wang Chan Road, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 18:17:22
Nat iPhone12mini,iPhone 12 mini,1,NotCharging,16.816055,100.256881,4,GPS,,,Mueang Phitsanulok District,"80/71 Pracha Uthit Road, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 18:22:35
Nat iPhone12mini,iPhone 12 mini,1,NotCharging,16.813947,100.263612,8,GPS,,,Mueang Phitsanulok District,"30 Chaophraya Road, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 18:27:44
Nat iPhone12mini,iPhone 12 mini,1,NotCharging,16.813897,100.263608,5,GPS,,,Mueang Phitsanulok District,"30 Chaophraya Road, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 18:33:01
Nat iPhone12mini,iPhone 12 mini,1,NotCharging,16.813902,100.263594,10,GPS,,,Mueang Phitsanulok District,"30 Chaophraya Road, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 18:38:02
Nat iPhone12mini,iPhone 12 mini,1,NotCharging,16.813922,100.263578,9,Wifi,,,Mueang Phitsanulok District,"30 Chaophraya Road, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 18:42:56
Nat iPhone12mini,iPhone 12 mini,1,NotCharging,16.813875,100.263634,5,GPS,,,Mueang Phitsanulok District,"30 Chaophraya Road, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 18:48:30
Nat iPhone12mini,iPhone 12 mini,1,NotCharging,16.813883,100.263606,7,GPS,,,Mueang Phitsanulok District,"30 Chaophraya Road, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 18:53:19
Nat iPhone12mini,iPhone 12 mini,1,NotCharging,16.81397,100.263574,9,GPS,,,Mueang Phitsanulok District,"28 Chaophraya Road, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 18:59:04
Nat iPhone12mini,iPhone 12 mini,1,NotCharging,16.813811,100.263497,9,GPS,,,Mueang Phitsanulok District,"34 Chaophraya Road, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 19:03:27
Nat iPhone12mini,iPhone 12 mini,1,NotCharging,16.813836,100.263538,10,GPS,,,Mueang Phitsanulok District,"34 Chaophraya Road, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 19:08:38
Nat iPhone12mini,iPhone 12 mini,1,NotCharging,16.813869,100.263578,10,GPS,,,Mueang Phitsanulok District,"30 Chaophraya Road, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 19:14:06
Nat iPhone12mini,iPhone 12 mini,1,NotCharging,16.813839,100.263541,5,unknown,,,Mueang Phitsanulok District,"34 Chaophraya Road, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 19:18:46
Nat iPhone12mini,iPhone 12 mini,1,NotCharging,16.813845,100.263549,10,Wifi,,,Mueang Phitsanulok District,"34 Chaophraya Road, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 19:24:36
Nat iPhone12mini,iPhone 12 mini,1,NotCharging,16.813222,100.263612,7,GPS,,,Mueang Phitsanulok District,"76 Phaya Lithai Road, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 19:29:03
Nat iPhone12mini,iPhone 12 mini,1,NotCharging,16.812322,100.261597,4,Wifi,,,Mueang Phitsanulok District,"169/4 Moo 2, Nai Mueang, Mueang Phitsanulok District, Phitsanulok 65000",2026-02-27 19:34:15
